ASX Listed Companies (1 June 2019),,,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
AWV,Anova Metals Limited,Materials,"5,752,190",0.000,,,
AWY,Aust Whisky Holdings,Consumer Staples,"65,223,200",0.003,,,
AX1,Accent Group Limited,Consumer Discretionary,"803,743,000",0.037,,,
AX8,Accelerate Resources,Materials,"1,103,840",0.000,,,
AXE,Archer Exploration,Materials,"14,919,100",0.001,,,
AXI,Axiom Properties,Real Estate,"17,308,500",0.001,,,
AXL,Axsesstoday Limited,Financials,"105,949,000",0.005,,,
AXP,Airxpanders Inc,Health Care,"19,546,100",0.001,,,
AXT,Argo Exploration,Materials,"2,195,640",0.000,,,
AYF,Australian Enhanced Units FP,,"19,599,400",0.001,,,
AYG,Axxis Technology Group,Information Technology,"47,591",0.000,,,
AYI,A1 Invest & Res Limited,Financials,"17,751,300",0.001,,,
AYK,Amyf Four Limited,,"19,718,700",0.001,,,
AYM,Australia United Min,Materials,"3,685,160",0.000,,,
AYR,Alloy Resources,Materials,"3,386,560",0.000,,,
AYS,Amaysim Aus Limited,Telecommunication Services,"215,431,000",0.010,,,
AYZ,Amyf Five Limited,,"42,969,200",0.002,,,
AZI,Alta ZINC Limited,Materials,"5,464,900",0.000,,,
AZJ,Aurizon Holdings Limited,Industrials,"10,308,900,000",0.477,,,
AZM,Azumah Resources,Materials,"14,860,900",0.001,,,
AZS,AZURE Minerals,Materials,"11,100,000",0.001,,,
AZT,AZURE Health Tech,Information Technology,"13,030",0.000,,,
AZV,AZURE Healthcare Limited,Health Care,"18,151,600",0.001,,,
AZY,Antipa Minerals Limited,Materials,"39,450,300",0.002,,,
B2Y,Bounty Mining,Materials,"32,906,800",0.002,,,
BAF,Blue Sky Alt Access,,"146,249,000",0.007,,,
BAH,Bojun Agriculture,Consumer Staples,"10,814,600",0.001,,,
BAL,Bellamy's Australia,Consumer Staples,"970,433,000",0.045,,,
BAP,Bapcor Limited,Consumer Discretionary,"1,689,540,000",0.078,,,
BAR,Barra Resources,Materials,"11,855,600",0.001,,,
BAS,Bass Oil Limited,Energy,"5,212,340",0.000,,,
BAT,Battery Minerals Limited,Materials,"26,747,100",0.001,,,
BAU,Bauxite Resource Limited,Materials,"10,506,700",0.000,,,
BBC,BNK Bank Corp Limited,Financials,"59,339,100",0.003,,,
BBL,Brisbane Broncos,Consumer Discretionary,"42,157,500",0.002,,,
BBN,Baby Bunting Group Limited,Consumer Discretionary,"309,781,000",0.014,,,
BBOZ,Beta Aust STR Bear,,"123,768,000",0.006,,,
BBR,Bora Bora Resources,Materials,"2,446,690",0.000,,,
BBUS,Beta US Strong Bear,,"92,697,800",0.004,,,
BBX,BBX Minerals Limited,Materials,"101,069,000",0.005,,,
BC8,Black Cat Syndicate,Materials,"14,698,700",0.001,,,
BCB,Bowen Coal Limited,Materials,"15,819,300",0.001,,,
BCC,Beam Communications,Information Technology,"13,218,400",0.001,,,
BCI,BCI Minerals Limited,Materials,"73,557,600",0.003,,,
BCK,Brockman Mining Limited,Materials,"359,628,000",0.017,,,
BCL,Bunji Corp Limited,Energy,"1,356,180",0.000,,,
BCN,Beacon Minerals,Materials,"43,973,900",0.002,,,
BCT,Bluechiip Limited,Information Technology,"42,700,100",0.002,,,
BD1,BARD1 Life Sciences,Health Care,"19,887,900",0.001,,,
BDA,Bod Australia,Consumer Discretionary,"18,041,400",0.001,,,
BDC,Bardoc Gold Limited,Materials,"69,899,100",0.003,,,
BDG,Black Dragon Gold,Materials,"2,072,870",0.000,,,
BDI,Blina Minerals NL,Materials,"4,543,880",0.000,,,
BEAR,Betashares Aust BEAR,,"45,693,700",0.002,,,
BEE,Broo Limited,Consumer Staples,"16,692,700",0.001,,,
BEL,Bentley Capital Limited,,"6,014,110",0.000,,,
BEM,Blackearth Minerals,Materials,"3,529,630",0.000,,,
BEN,Bendigo and Adelaide,Financials,"5,507,670,000",0.255,,,
BFC,Beston Global Limited,Consumer Staples,"50,981,300",0.002,,,
BFG,Bell Financial Group,Financials,"256,595,000",0.012,,,
BGA,Bega Cheese Limited,Consumer Staples,"1,008,820,000",0.047,,,
BGH,Bligh Resources Limited,Materials,"18,584,300",0.001,,,
BGL,Bellevue Gold Limited,Materials,"302,363,000",0.014,,,
BGP,Briscoe Group,Consumer Discretionary,"754,696,000",0.035,,,
BGR,Bronson Group Limited,,"259,888",0.000,,,
BGS,Birimian Limited,Materials,"40,999,100",0.002,,,
BGT,Bio-Gene Technology,Materials,"12,813,300",0.001,,,
BHD,Benjamin Horngld Limited,,"17,150,200",0.001,,,
BHL,Boyuan Holdings,Real Estate,"68,626,000",0.003,,,
BHP,BHP Group Limited,Materials,"111,235,000,000",5.149,,,
BID,Bidenergy Limited,Information Technology,"91,703,400",0.004,,,
BILL,Ishares Core Cash,,"411,637,000",0.019,,,
BIN,Bingo Industries Limited,Industrials,"1,219,780,000",0.056,,,
BIQ,Buildingiq Inc Cdi 1:1,Information Technology,"4,321,230",0.000,,,
BIR,BIR Financial Limited,Financials,"7,705,310",0.000,,,
BIS,Bisalloy Steel,Materials,"42,514,400",0.002,,,
BIT,Biotron Limited,Health Care,"40,506,200",0.002,,,
BKI,BKI Investment Limited,,"1,106,990,000",0.051,,,
BKL,Blackmores Limited,Consumer Staples,"1,642,050,000",0.076,,,
BKM,BKM Management Limited,Industrials,"3,644,070",0.000,,,
BKT,Black Rock Mining,Materials,"57,969,500",0.003,,,
BKW,Brickworks Limited,Materials,"2,442,780,000",0.113,,,
BKY,Berkeley Energia Limited,Energy,"85,277,100",0.004,,,
BLA,Blue Sky Limited,Financials,"14,376,600",0.001,,,
BLD,Boral Limited,Materials,"6,365,760,000",0.295,,,
BLG,Bluglass Limited,Information Technology,"79,501,100",0.004,,,
BLK,Blackham Resources,Materials,"21,729,500",0.001,,,
BLT,Benitec Biopharma,Health Care,"30,843,500",0.001,,,
BLU,Blue Energy Limited,Energy,"65,845,400",0.003,,,
BLX,Beacon Lighting Group,Consumer Discretionary,"265,250,000",0.012,,,
BLY,Boart Longyear,Industrials,"78,888,600",0.004,,,
BLZ,BLAZE International,Energy,"4,410,000",0.000,,,
BMG,BMG Resources Limited,Materials,"6,135,060",0.000,,,
BMH,Baumart Holdings Limited,Industrials,"34,738,700",0.002,,,
BMN,Bannerman Resources,Energy,"46,871,400",0.002,,,
BMP,Buymyplace Limited,Real Estate,"4,725,600",0.000,,,
BNDS,Beta LM Aus Bond,,"62,454,100",0.003,,,
BNKS,Beta Global Banks,,"58,379,400",0.003,,,
BNL,Big Star Energy Limited,Energy,"1,986,000",0.000,,,
BNO,Bionomics Limited,Health Care,"54,468,600",0.003,,,
BNR,Bulletin Res Limited,Materials,"2,510,100",0.000,,,
BOA,Boadicea Resources,Materials,"8,983,680",0.000,,,
BOC,Bougainville Copper 1 Kina,Materials,"46,122,200",0.002,,,
BOE,Boss Resources Limited,Materials,"71,298,100",0.003,,,
BOL,Boom Logistics,Industrials,"68,208,600",0.003,,,
BOND,SPDR Aust BOND,,"71,768,100",0.003,,,
BOQ,Bank of Queensland,Financials,"3,757,570,000",0.174,,,
BOT,Botanix Pharma Limited,Health Care,"80,338,500",0.004,,,
BPG,Byte Power Group,Consumer Discretionary,"27,585,600",0.001,,,
BPH,BPH Energy Limited,Health Care,"2,543,280",0.000,,,
