date,index,value
2009-08-31,world,31.3113
2009-08-31,pacific,24.2767
2009-08-31,asx200,4479.1001
2009-08-31,axvi,26.615
2009-08-31,discretionary,1490.1
2009-08-31,staples,7179.0
2009-08-31,energy,16281.5
2009-08-31,financials,5210.1
2009-08-31,healthcare,8433.6
2009-08-31,industrials,3669.8
2009-08-31,infotech,594.3
2009-08-31,materials,10955.2
2009-08-31,telecom,1133.4
2009-08-31,utilities,4056.2
2009-08-31,realestate,2056.2
2009-08-31,aud_usd,0.8434
2009-08-31,twi,66.3
2009-09-01,world,30.6506
2009-09-01,pacific,23.8233
2009-09-01,asx200,4514.6001
2009-09-01,axvi,25.581
2009-09-01,discretionary,1497.7
2009-09-01,staples,7256.6
2009-09-01,energy,16257.6
2009-09-01,financials,5288.7
2009-09-01,healthcare,8427.4
2009-09-01,industrials,3687.6
2009-09-01,infotech,595.3
2009-09-01,materials,11064.0
2009-09-01,telecom,1138.4
2009-09-01,utilities,4048.5
2009-09-01,realestate,2027.3
2009-09-01,aud_usd,0.8262
2009-09-01,twi,66.4
2009-09-01,prime,7.14
2009-09-02,world,30.6747
2009-09-02,pacific,23.7971
2009-09-02,asx200,4438.2002
2009-09-02,axvi,27.539
2009-09-02,discretionary,1473.7
2009-09-02,staples,7268.2
2009-09-02,energy,15825.9
2009-09-02,financials,5159.9
2009-09-02,healthcare,8468.9
2009-09-02,industrials,3617.5
2009-09-02,infotech,593.9
2009-09-02,materials,10838.7
2009-09-02,telecom,1135.4
2009-09-02,utilities,4025.9
2009-09-02,realestate,2023.8
2009-09-02,aud_usd,0.8336
2009-09-02,twi,65.8
2009-09-03,world,30.9245
2009-09-03,pacific,24.1256
2009-09-03,asx200,4429.6001
2009-09-03,axvi,26.596999999999998
2009-09-03,discretionary,1484.9
2009-09-03,staples,7208.4
2009-09-03,energy,15734.7
2009-09-03,financials,5118.8
2009-09-03,healthcare,8543.3
2009-09-03,industrials,3585.6
2009-09-03,infotech,595.5
2009-09-03,materials,10950.0
2009-09-03,telecom,1143.9
2009-09-03,utilities,4081.3
2009-09-03,realestate,1991.1
2009-09-03,aud_usd,0.8393
2009-09-03,twi,66.0
2009-09-04,world,31.3596
2009-09-04,pacific,24.5789
2009-09-04,asx200,4435.5
2009-09-04,axvi,26.689
2009-09-04,discretionary,1486.9
2009-09-04,staples,7200.8
2009-09-04,energy,15819.0
2009-09-04,financials,5121.5
2009-09-04,healthcare,8613.2
2009-09-04,industrials,3628.1
2009-09-04,infotech,599.8
2009-09-04,materials,10934.3
2009-09-04,telecom,1141.3
2009-09-04,utilities,4000.5
2009-09-04,realestate,1997.4
2009-09-04,aud_usd,0.8506
2009-09-04,twi,66.3
2009-09-07,asx200,4454.3999
2009-09-07,axvi,25.932
2009-09-07,discretionary,1490.3
2009-09-07,staples,7122.7
2009-09-07,energy,15819.0
2009-09-07,financials,5133.8
2009-09-07,healthcare,8764.8
2009-09-07,industrials,3651.5
2009-09-07,infotech,594.7
2009-09-07,materials,11014.3
2009-09-07,telecom,1128.5
2009-09-07,utilities,3991.0
2009-09-07,realestate,2064.2
2009-09-07,aud_usd,0.8551
2009-09-07,twi,67.1
2009-09-08,world,31.8592
2009-09-08,pacific,25.3148
2009-09-08,asx200,4523.7998
2009-09-08,axvi,25.987
2009-09-08,discretionary,1512.4
2009-09-08,staples,7205.1
2009-09-08,energy,16021.0
2009-09-08,financials,5253.7
2009-09-08,healthcare,8722.2
2009-09-08,industrials,3681.0
2009-09-08,infotech,605.2
2009-09-08,materials,11246.3
2009-09-08,telecom,1129.4
2009-09-08,utilities,4022.0
2009-09-08,realestate,2055.1
2009-09-08,aud_usd,0.8618
2009-09-08,twi,67.4
2009-09-09,world,32.1734
2009-09-09,pacific,25.387
2009-09-09,asx200,4522.2002
2009-09-09,axvi,25.63
2009-09-09,discretionary,1512.6
2009-09-09,staples,7230.6
2009-09-09,energy,15920.5
2009-09-09,financials,5241.5
2009-09-09,healthcare,8728.5
2009-09-09,industrials,3722.9
2009-09-09,infotech,612.1
2009-09-09,materials,11275.6
2009-09-09,telecom,1119.2
2009-09-09,utilities,4009.2
2009-09-09,realestate,2041.6
2009-09-09,aud_usd,0.8629
2009-09-09,twi,67.4
2009-09-10,world,32.536
2009-09-10,pacific,25.7287
2009-09-10,asx200,4570.7998
2009-09-10,axvi,25.709
2009-09-10,discretionary,1541.4
2009-09-10,staples,7243.3
2009-09-10,energy,16196.2
2009-09-10,financials,5280.8
2009-09-10,healthcare,8762.1
2009-09-10,industrials,3782.4
2009-09-10,infotech,628.7
2009-09-10,materials,11384.0
2009-09-10,telecom,1138.7
2009-09-10,utilities,4028.2
2009-09-10,realestate,2098.4
2009-09-10,aud_usd,0.8633
2009-09-10,twi,67.3
2009-09-11,world,32.4957
2009-09-11,pacific,25.6236
2009-09-11,asx200,4596.1001
2009-09-11,axvi,25.246
2009-09-11,discretionary,1538.5
2009-09-11,staples,7275.9
