"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 12, 2013","5,149.50","5,156.70","5,196.60","5,146.50","124.91M","-0.14%"
"Feb 11, 2013","5,156.65","5,171.10","5,186.40","5,156.70","113.75M","-0.48%"
"Feb 10, 2013","5,181.40","5,171.10","5,186.40","5,166.80","-","0.20%"
"Feb 08, 2013","5,171.12","5,138.20","5,171.10","5,130.00","157.66M","0.61%"
"Feb 07, 2013","5,139.80","5,119.10","5,151.00","5,109.20","171.62M","0.30%"
"Feb 06, 2013","5,124.49","5,079.10","5,142.20","5,079.10","151.44M","0.89%"
"Feb 05, 2013","5,079.15","5,086.50","5,097.60","5,043.80","159.24M","-0.28%"
"Feb 04, 2013","5,093.41","5,121.20","5,151.00","5,090.10","112.84M","-0.41%"
"Feb 03, 2013","5,114.50","5,121.20","5,151.00","5,111.30","-","-0.13%"
"Feb 01, 2013","5,121.16","5,063.80","5,122.90","5,063.80","137.04M","1.13%"
"Jan 31, 2013","5,063.82","5,074.80","5,097.00","5,054.00","188.44M","-0.22%"
"Jan 30, 2013","5,074.84","5,066.40","5,088.10","5,053.20","118.50M","0.17%"
"Jan 29, 2013","5,066.42","5,004.00","5,081.70","5,003.20","200.57M","0.72%"
"Jan 28, 2013","5,030.30","5,004.00","5,037.60","5,003.20","-","0.59%"
"Jan 25, 2013","5,000.95","4,962.30","5,001.00","4,962.30","206.56M","0.78%"
"Jan 24, 2013","4,962.27","4,925.70","4,967.60","4,925.20","158.53M","0.73%"
"Jan 23, 2013","4,926.18","4,914.10","4,940.80","4,913.70","142.44M","0.34%"
"Jan 22, 2013","4,909.31","4,915.30","4,932.20","4,895.00","120.24M","-0.12%"
"Jan 21, 2013","4,915.35","4,910.00","4,924.60","4,895.70","112.57M","0.04%"
"Jan 20, 2013","4,913.20","4,910.00","4,924.60","4,903.30","-","0.15%"
"Jan 18, 2013","4,905.70","4,891.00","4,915.70","4,891.00","133.68M","0.30%"
"Jan 17, 2013","4,890.96","4,865.80","4,930.50","4,865.80","186.55M","0.52%"
"Jan 16, 2013","4,865.84","4,838.50","4,871.00","4,838.10","138.69M","0.57%"
"Jan 15, 2013","4,838.11","4,840.20","4,854.80","4,821.60","164.85M","-0.02%"
"Jan 14, 2013","4,839.12","4,826.50","4,857.10","4,826.50","122.40M","-0.15%"
"Jan 13, 2013","4,846.30","4,826.50","4,857.10","4,826.50","-","0.41%"
"Jan 11, 2013","4,826.52","4,830.90","4,844.50","4,822.00","124.96M","0.04%"
"Jan 10, 2013","4,824.71","4,794.90","4,825.20","4,794.80","164.94M","0.62%"
"Jan 09, 2013","4,794.89","4,765.70","4,798.60","4,765.70","159.76M","0.57%"
"Jan 08, 2013","4,767.68","4,808.90","4,819.30","4,765.80","142.54M","-0.83%"
"Jan 07, 2013","4,807.66","4,813.70","4,841.30","4,807.70","103.50M","-0.42%"
"Jan 06, 2013","4,827.80","4,813.70","4,841.30","4,813.70","-","0.34%"
"Jan 04, 2013","4,811.30","4,811.70","4,818.80","4,801.20","96.27M","-0.01%"
"Jan 03, 2013","4,811.75","4,791.90","4,815.50","4,791.90","98.74M","0.41%"
"Jan 02, 2013","4,791.93","4,753.70","4,802.20","4,753.70","68.54M","0.57%"
"Jan 01, 2013","4,764.90","4,753.70","4,765.90","4,753.70","-","0.24%"
"Dec 31, 2012","4,753.71","4,764.90","4,766.10","4,741.20","55.62M","0.19%"
"Dec 30, 2012","4,744.80","4,764.90","4,764.90","4,741.20","-","-0.46%"
"Dec 28, 2012","4,766.64","4,751.10","4,780.10","4,750.40","57.66M","0.35%"
"Dec 27, 2012","4,749.85","4,751.00","4,755.90","4,736.40","41.99M","0.21%"
"Dec 26, 2012","4,739.70","4,751.00","4,751.00","4,736.40","-","-0.24%"
"Dec 24, 2012","4,750.96","4,741.30","4,760.70","4,740.90","31.24M","-0.12%"
"Dec 23, 2012","4,756.50","4,741.30","4,760.70","4,740.90","-","0.31%"
"Dec 21, 2012","4,741.79","4,736.60","4,772.30","4,731.80","261.95M","0.11%"
"Dec 20, 2012","4,736.56","4,707.20","4,743.50","4,704.50","356.32M","0.67%"
"Dec 19, 2012","4,704.86","4,699.10","4,719.20","4,692.80","156.40M","0.28%"
"Dec 18, 2012","4,691.74","4,682.60","4,716.00","4,682.60","155.65M","0.22%"
"Dec 17, 2012","4,681.57","4,702.80","4,702.80","4,678.20","102.62M","-0.11%"
"Dec 16, 2012","4,686.60","4,702.80","4,702.80","4,679.40","-","-0.35%"
"Dec 14, 2012","4,702.85","4,697.30","4,720.70","4,697.30","129.54M","0.12%"
"Dec 13, 2012","4,697.34","4,700.20","4,714.00","4,696.70","189.32M","-0.06%"
"Dec 12, 2012","4,700.18","4,713.60","4,728.10","4,700.20","294.39M","-0.28%"
"Dec 11, 2012","4,713.60","4,700.50","4,716.70","4,700.50","113.70M","0.28%"
"Dec 10, 2012","4,700.47","4,689.70","4,714.70","4,689.70","136.47M","-0.20%"
"Dec 09, 2012","4,709.70","4,689.70","4,709.70","4,689.70","-","0.42%"
"Dec 07, 2012","4,689.90","4,642.50","4,695.20","4,641.90","188.99M","1.11%"
"Dec 06, 2012","4,638.57","4,655.40","4,665.60","4,633.90","175.08M","-0.36%"
"Dec 05, 2012","4,655.43","4,631.40","4,666.60","4,628.20","145.34M","0.52%"
"Dec 04, 2012","4,631.41","4,654.40","4,671.10","4,627.10","140.97M","-0.49%"
"Dec 03, 2012","4,654.39","4,613.70","4,663.40","4,613.70","171.95M","0.88%"
"Nov 30, 2012","4,613.65","4,578.50","4,623.40","4,578.50","260.53M","0.77%"
"Nov 29, 2012","4,578.52","4,550.00","4,580.00","4,550.00","180.50M","0.67%"
"Nov 28, 2012","4,548.14","4,546.70","4,549.10","4,533.90","138.07M","0.00%"
"Nov 27, 2012","4,548.09","4,528.10","4,558.90","4,521.60","149.56M","0.44%"
"Nov 26, 2012","4,528.07","4,529.10","4,536.10","4,521.80","88.40M","-0.02%"
"Nov 23, 2012","4,529.15","4,522.90","4,530.30","4,506.90","78.25M","0.14%"
"Nov 22, 2012","4,522.93","4,486.40","4,542.10","4,484.40","130.32M","0.94%"
"Nov 21, 2012","4,481.02","4,492.80","4,502.60","4,479.40","135.26M","-0.19%"
"Nov 20, 2012","4,489.61","4,482.50","4,499.50","4,472.50","126.17M","0.16%"
"Nov 19, 2012","4,482.54","4,478.50","4,498.20","4,455.80","115.57M","0.19%"
"Nov 16, 2012","4,474.16","4,502.50","4,502.50","4,470.80","153.16M","-0.65%"
"Nov 15, 2012","4,503.64","4,531.00","4,531.00","4,483.50","164.68M","-0.60%"
"Nov 14, 2012","4,531.02","4,502.40","4,542.00","4,502.40","147.68M","0.63%"
"Nov 13, 2012","4,502.43","4,586.80","4,588.20","4,502.40","242.38M","-1.85%"
"Nov 12, 2012","4,587.35","4,591.00","4,607.40","4,568.20","165.31M","-0.12%"
"Nov 09, 2012","4,592.85","4,631.50","4,631.50","4,556.40","254.40M","-0.83%"
"Nov 08, 2012","4,631.46","4,668.50","4,668.50","4,606.90","206.71M","-0.79%"
"Nov 07, 2012","4,668.48","4,638.30","4,677.80","4,629.70","161.12M","0.65%"
"Nov 06, 2012","4,638.29","4,619.50","4,651.80","4,619.50","136.11M","0.41%"
"Nov 05, 2012","4,619.20","4,595.50","4,624.10","4,573.50","151.20M","0.45%"
"Nov 02, 2012","4,598.34","4,622.50","4,639.70","4,598.30","232.53M","-0.40%"
"Nov 01, 2012","4,616.66","4,676.90","4,676.90","4,616.70","181.33M","-1.29%"
"Oct 31, 2012","4,676.90","4,656.60","4,685.90","4,649.60","185.74M","0.50%"
"Oct 30, 2012","4,653.73","4,644.60","4,666.10","4,639.80","151.67M","0.26%"
"Oct 29, 2012","4,641.51","4,637.40","4,662.30","4,637.30","105.95M","0.11%"
"Oct 26, 2012","4,636.35","4,670.80","4,686.90","4,636.30","213.65M","-0.70%"
"Oct 25, 2012","4,668.96","4,655.50","4,678.60","4,653.00","179.54M","0.23%"
"Oct 24, 2012","4,658.18","4,681.40","4,681.40","4,654.10","151.33M","-0.50%"
"Oct 23, 2012","4,681.37","4,665.90","4,697.50","4,657.90","145.99M","0.30%"
"Oct 22, 2012","4,667.57","4,682.40","4,683.50","4,651.30","127.12M","-0.48%"
"Oct 19, 2012","4,690.24","4,721.50","4,722.30","4,668.10","190.36M","-0.66%"
"Oct 18, 2012","4,721.46","4,760.70","4,760.70","4,719.50","175.92M","0.24%"
"Oct 17, 2012","4,710.26","4,686.60","4,721.60","4,686.60","240.75M","0.50%"
"Oct 16, 2012","4,686.60","4,665.30","4,717.40","4,665.30","140.40M","0.46%"
"Oct 15, 2012","4,665.32","4,652.20","4,673.40","4,650.70","108.08M","0.28%"
"Oct 12, 2012","4,652.17","4,651.90","4,663.60","4,648.20","124.39M","0.01%"
"Oct 11, 2012","4,651.92","4,644.70","4,667.30","4,623.10","130.54M","0.16%"
"Oct 10, 2012","4,644.72","4,655.20","4,656.00","4,635.40","146.93M","-0.39%"
